model,slice_index,dice
SmallUNet,48,0.7610872387886047
SmallUNet,49,0.6588037014007568
SmallUNet,50,0.7370558381080627
SmallUNet,51,0.9259451031684875
SmallUNet,52,0.9187642931938171
SmallUNet,53,0.9332728385925293
SmallUNet,54,0.969688892364502
SmallUNet,55,0.9679715037345886
SmallUNet,56,0.9686006903648376
SmallUNet,57,0.9694869518280029
SmallUNet,58,0.9550449848175049
SmallUNet,59,0.9131069779396057
SmallUNet,60,0.9569321274757385
SmallUNet,61,0.9456722140312195
SmallUNet,62,0.8822054862976074
SmallUNet,63,1.0
SmallUNet,64,1.0
SmallUNet,65,1.0
SmallUNet,66,1.0
SmallUNet,67,1.0
SmallUNet,68,1.0
SmallUNet,69,1.0
SmallUNet,70,1.0
SmallUNet,71,1.0
SmallUNet,72,0.6410256624221802
SmallUNet,73,0.8363636136054993
SmallUNet,74,0.6200000047683716
SmallUNet,75,0.45789840817451477
SmallUNet,76,0.8269066214561462
SmallUNet,77,0.6905131936073303
SmallUNet,78,0.8817204236984253
SmallUNet,79,0.9377530217170715
SmallUNet,80,0.7583679556846619
SmallUNet,81,0.8825384974479675
SmallUNet,82,0.9292616248130798
SmallUNet,83,0.9528437852859497
SmallUNet,84,0.946397602558136
SmallUNet,85,0.9464181661605835
SmallUNet,86,0.8366523385047913
SmallUNet,87,0.8464551568031311
SmallUNet,88,0.7503649592399597
SmallUNet,89,0.4506726562976837
SmallUNet,90,1.0
SmallUNet,91,1.0
SmallUNet,92,1.0
SmallUNet,93,1.0
SmallUNet,94,1.0
SmallUNet,95,1.0
SmallUNet,96,1.0
AttentionUNet,0,0.0
AttentionUNet,1,0.0
AttentionUNet,2,0.0
AttentionUNet,3,1.0
AttentionUNet,4,1.0
AttentionUNet,5,1.0
AttentionUNet,6,0.0
AttentionUNet,7,1.0
AttentionUNet,8,1.0
AttentionUNet,9,1.0
AttentionUNet,10,0.0
AttentionUNet,11,0.8291139006614685
AttentionUNet,12,0.8925537467002869
AttentionUNet,13,0.9322162866592407
AttentionUNet,14,0.9552963972091675
AttentionUNet,15,0.9625018239021301
AttentionUNet,16,0.9571734666824341
AttentionUNet,17,0.9771896600723267
AttentionUNet,18,0.8661621809005737
AttentionUNet,19,0.8917937278747559
AttentionUNet,20,0.9257017970085144
AttentionUNet,21,0.8312166333198547
AttentionUNet,22,0.7873088121414185
AttentionUNet,23,0.897143542766571
